order_date,sales_amount
2025-03-25,102
2025-03-26,95
2025-03-27,112
2025-03-28,117
2025-03-29,119
2025-03-30,126
2025-03-31,116
2025-04-01,114
2025-04-02,116
2025-04-03,109
2025-04-04,122
2025-04-05,142
2025-04-06,133
2025-04-07,117
2025-04-08,109
2025-04-09,95
2025-04-10,102
2025-04-11,89
2025-04-12,119
2025-04-13,109
2025-04-14,88
2025-04-15,83
2025-04-16,98
2025-04-17,87
2025-04-18,85
2025-04-19,106
2025-04-20,115
2025-04-21,98
2025-04-22,101
2025-04-23,105
2025-04-24,122
2025-04-25,105
2025-04-26,129
2025-04-27,131
2025-04-28,122
2025-04-29,128
2025-04-30,120
2025-05-01,115
2025-05-02,115
2025-05-03,150
2025-05-04,150
2025-05-05,122
2025-05-06,110
2025-05-07,115
2025-05-08,111
2025-05-09,108
2025-05-10,131
2025-05-11,122
2025-05-12,103
2025-05-13,96
2025-05-14,96
2025-05-15,97
2025-05-16,80
2025-05-17,108
2025-05-18,107
2025-05-19,89
2025-05-20,94
2025-05-21,111
2025-05-22,95
2025-05-23,113
2025-05-24,117
2025-05-25,132
2025-05-26,117
2025-05-27,124
2025-05-28,128
2025-05-29,130
2025-05-30,123
2025-05-31,148
2025-06-01,159
2025-06-02,125
2025-06-03,115
2025-06-04,114
2025-06-05,113
2025-06-06,122
2025-06-07,139
2025-06-08,139
2025-06-09,105
2025-06-10,106
2025-06-11,107
2025-06-12,97
2025-06-13,101
2025-06-14,110
2025-06-15,112
2025-06-16,93
2025-06-17,87
2025-06-18,102
2025-06-19,97
2025-06-20,103
2025-06-21,131
2025-06-22,135
2025-06-23,119
2025-06-24,116
2025-06-25,117
2025-06-26,123
2025-06-27,113
2025-06-28,143
2025-06-29,146
2025-06-30,124
2025-07-01,135
2025-07-02,124
2025-07-03,127
2025-07-04,138
2025-07-05,148
2025-07-06,153
2025-07-07,112
2025-07-08,114
2025-07-09,105
2025-07-10,106
2025-07-11,113
2025-07-12,110
2025-07-13,125
2025-07-14,102
2025-07-15,95
2025-07-16,88
2025-07-17,101
2025-07-18,98
2025-07-19,127
2025-07-20,129
2025-07-21,123
2025-07-22,112
2025-07-23,110
2025-07-24,123
2025-07-25,127
2025-07-26,166
2025-07-27,165
2025-07-28,137
2025-07-29,148
2025-07-30,127
2025-07-31,132
2025-08-01,129
2025-08-02,159
2025-08-03,149
2025-08-04,135
2025-08-05,125
2025-08-06,112
2025-08-07,112
2025-08-08,119
2025-08-09,143
2025-08-10,148
2025-08-11,131
2025-08-12,109
2025-08-13,96
2025-08-14,86
2025-08-15,105
2025-08-16,119
2025-08-17,124
2025-08-18,103
2025-08-19,110
2025-08-20,123
2025-08-21,120
2025-08-22,121
2025-08-23,143
2025-08-24,143
2025-08-25,130
2025-08-26,136
2025-08-27,153
2025-08-28,142
2025-08-29,150
2025-08-30,167
2025-08-31,160
2025-09-01,132
2025-09-02,132
2025-09-03,152
2025-09-04,125
2025-09-05,135
2025-09-06,142
2025-09-07,153
2025-09-08,121
2025-09-09,113
2025-09-10,111
2025-09-11,104
2025-09-12,111
2025-09-13,125
2025-09-14,119
2025-09-15,98
2025-09-16,111
2025-09-17,125
2025-09-18,117
2025-09-19,118
2025-09-20,150
